Place,Bib,Name,Time,Gender
471,18023,Mashudu MMBENGENI,07:11:45,Male
472,52761,Thomas NKUNA,07:11:45,Male
473,24700,Doctor MALEPE,07:11:46,Male
474,41595,Sandile MBATHA,07:11:48,Male
475,59409,Felix BANDA,07:11:48,Male
476,40385,Xolani HLATSHWAYO,07:11:50,Male
477,57646,Joel MPURU,07:12:09,Male
478,59964,Themba NDLOVU,07:12:14,Male
479,52915,Nico PRETORIUS,07:12:20,Male
480,34333,Vukani MSANI,07:12:23,Male
481,33290,Jeofrey MASHAU TSHILIDZI,07:12:29,Male
482,58741,Calvin RIBA,07:12:37,Male
483,24849,Teboho MOHAJANE,07:12:41,Male
484,57738,Helene VAN ROOYEN,07:12:42,Female
485,46566,Sandile MAJOLA,07:12:44,Male
486,12301,Werner GELDENHUIS,07:12:47,Male
487,32847,Denis ZHURAVLEV,07:13:02,Male
488,57019,Kurhula BILANKULU,07:13:03,Male
489,15959,Somara MASHAMAITE,07:13:03,Male
490,29605,Xolani NDABA,07:13:07,Male
491,30530,Velani SOSIBO,07:13:11,Male
492,36124,Olebogeng THEBE,07:13:28,Male
493,49191,Mushoni NYAMANDE,07:13:33,Male
494,29044,Mncedisi GUMEDE,07:13:34,Male
495,52568,Innocent MAZIBUKO,07:13:35,Male
496,25200,Ndodana NDLOVU,07:13:35,Male
497,35960,Simiso SKHAKHANE,07:13:36,Male
498,15304,Justin BRINK,07:13:36,Male
499,20353,Bongani DLAMINI,07:13:38,Male
500,12705,Elias KOPE,07:13:39,Male
501,54920,Njabulo SOSIBO,07:13:43,Male
502,49256,Sphiwe NDABA,07:13:44,Male
503,53915,Maksim POLIAKOV,07:13:51,Male
504,34730,Godfrey MOABELO,07:13:56,Male
505,23851,Wihan SWANEPOEL,07:14:01,Male
506,48875,Matsobane MOREMA,07:14:03,Male
507,23732,Isaac MOKGOLA,07:14:03,Male
508,58922,Aleksei GITELMAN,07:14:03,Male
509,31134,Rory FARMER,07:14:04,Male
510,16186,Reginald POOPEDI,07:14:04,Male
511,34212,Daniel GALESHEWE,07:14:17,Male
512,40210,Sabelo ZWANE,07:14:24,Male
513,35695,Musa MALULEKE,07:14:28,Male
514,47739,Nkosikhona Brain LUTHULI,07:14:35,Male
515,22830,Marthel MHLANGA,07:14:50,Male
516,9585,Tebogo SITHOLE,07:14:59,Male
517,58060,Thulani James SIBIYA,07:15:05,Male
518,52845,Mitch EMANUEL,07:15:08,Male
519,28382,Sondelani NZAMA,07:15:12,Male
520,47585,Andile Sithembile MTHETHWA,07:15:16,Male
521,56345,Tebogo MOIPOLAI,07:15:23,Male
522,45178,Sibusiso KHUMALO,07:15:23,Male
523,18483,Bongane ZWANE,07:15:31,Male
524,14345,Brian MASONDO,07:15:32,Male
525,30812,Willem VAN ROOYEN,07:15:38,Male
526,36466,Aleksei CHEREMNYKH,07:15:42,Male
527,42892,Matsobane KEKANA,07:15:48,Male
528,26335,Poponki NKOANE,07:15:48,Male
529,57838,Andrea POMARANSKI,07:15:53,Female
530,36241,Devon YANKO,07:15:53,Female
531,19779,Deane MORTLOCK,07:15:55,Male
532,6917,Sipho MAJOLA,07:15:56,Male
533,18752,Richard MCCAFFERTY,07:15:59,Male
534,41255,Philip BREYTENBACH,07:16:02,Male
535,56198,Nkateko NDLALA,07:16:04,Male
536,58776,Khulekani NDLOVU,07:16:11,Male
537,53944,Dumisa SIBIYA,07:16:24,Male
538,54926,Brian GODZWANA,07:16:27,Male
539,10713,Tshepo MAKGATO,07:16:28,Male
540,33144,Samuel MOLEFE,07:16:29,Male
541,46400,Steven GEORGE,07:16:30,Male
542,49089,Baleseng MONNAMME,07:16:33,Male
